modelo,quantidade,mes
HYUNDAI/HB20,5634,1
GM/ONIX,5205,1
JEEP/COMPASS,4905,1
HYUNDAI/CRETA,4175,1
VW/T CROSS,3761,1
VW/GOL,3435,1
GM/ONIX PLUS,3431,1
FIAT/PULSE,3192,1
RENAULT/KWID,3180,1
FIAT/ARGO,2676,1
FIAT/MOBI,2528,1
TOYOTA/COROLLA CROSS,2478,1
HYUNDAI/HB20S,2391,1
GM/TRACKER,2376,1
CITROEN/C4 CACTUS,2283,1
TOYOTA/COROLLA,2142,1
PEUGEOT/208,1989,1
HONDA/HR-V,1792,1
FIAT/CRONOS,1732,1
NISSAN/KICKS,1682,1
PEUGEOT/2008,1631,1
RENAULT/DUSTER,1445,1
JEEP/COMMANDER,1437,1
VW/NIVUS,1384,1
HONDA/CIVIC,1133,1
CAOA CHERY/TIGGO 3X,1023,1
HONDA/CITY,1011,1
TOYOTA/YARIS HB,955,1
VW/TAOS,946,1
TOYOTA/HILUX SW4,889,1
NISSAN/VERSA,796,1
CAOA CHERY/TIGGO 8,670,1
FIAT/SIENA,666,1
FIAT/UNO,622,1
VW/VIRTUS,612,1
RENAULT/LOGAN,607,1
RENAULT/SANDERO,607,1
HONDA/WR-V,600,1
CAOA CHERY/TIGGO 5X,598,1
TOYOTA/YARIS SEDAN,593,1
RENAULT/CAPTUR,567,1
GM/SPIN,513,1
CAOA CHERY/TIGGO 7,512,1
VW/VOYAGE,479,1
GM/CRUZE SEDAN,458,1
GM/TRAILBLAZER,347,1
CAOA CHERY/ARRIZO 6,270,1
BMW/320I,259,1
VW/POLO,253,1
HYUNDAI/HB20,6161,2
VW/T CROSS,5118,2
JEEP/COMPASS,4503,2
GM/ONIX PLUS,4489,2
FIAT/ARGO,4321,2
RENAULT/KWID,4262,2
HYUNDAI/CRETA,4163,2
FIAT/MOBI,4162,2
TOYOTA/COROLLA CROSS,3732,2
GM/TRACKER,3419,2
TOYOTA/COROLLA,2729,2
FIAT/SIENA,2637,2
VW/NIVUS,2417,2
HONDA/CITY,2326,2
JEEP/RENEGADE,2229,2
TOYOTA/YARIS HB,2067,2
HYUNDAI/HB20S,2055,2
PEUGEOT/208,1847,2
FIAT/PULSE,1843,2
VW/GOL,1710,2
JEEP/COMMANDER,1614,2
CITROEN/C4 CACTUS,1587,2
RENAULT/DUSTER,1550,2
RENAULT/LOGAN,1363,2
TOYOTA/YARIS SEDAN,1202,2
NISSAN/KICKS,1112,2
NISSAN/VERSA,1058,2
TOYOTA/HILUX SW4,997,2
CAOA CHERY/TIGGO 8,878,2
FIAT/CRONOS,839,2
HONDA/HR-V,826,2
HYUNDAI/TUCSON,820,2
CAOA CHERY/TIGGO 3X,786,2
CAOA CHERY/TIGGO 7,730,2
VW/TAOS,667,2
CAOA CHERY/TIGGO 5X,649,2
RENAULT/CAPTUR,480,2
GM/CRUZE SEDAN,477,2
HONDA/CIVIC,471,2
RENAULT/SANDERO,469,2
BMW/320I,447,2
PEUGEOT/2008,445,2
VW/VIRTUS,301,2
VW/POLO,295,2
MITSUBISHI/PAJERO,273,2
HONDA/CITY HATCH,245,2
MITSUBISHI/Outlander,224,2
VOLVO/XC60,198,2
HYUNDAI/HB20,6502,4
FIAT/MOBI,5911,4
GM/ONIX,5574,4
FIAT/PULSE,5520,4
FIAT/ARGO,5488,4
GM/ONIX PLUS,5240,4
JEEP/COMPASS,4766,4
VW/T CROSS,4570,4
GM/TRACKER,4410,4
HYUNDAI/CRETA,4255,4
JEEP/RENEGADE,4165,4
TOYOTA/COROLLA CROSS,3861,4
RENAULT/KWID,3849,4
TOYOTA/COROLLA,3729,4
HYUNDAI/HB20S,3192,4
FIAT/CRONOS,3043,4
VW/NIVUS,2644,4
NISSAN/KICKS,2473,4
TOYOTA/YARIS HB,2324,4
HONDA/CITY,2182,4
JEEP/COMMANDER,1894,4
HONDA/CITY HATCH,1782,4
PEUGEOT/208,1736,4
GM/SPIN,1611,4
RENAULT/DUSTER,1405,4
TOYOTA/YARIS SEDAN,1160,4
TOYOTA/HILUX SW4,1149,4
GM/CRUZE SEDAN,1115,4
CAOA CHERY/TIGGO 8,883,4
CAOA CHERY/TIGGO 5X,859,4
VW/GOL,837,4
RENAULT/SANDERO,824,4
CAOA CHERY/TIGGO 7,717,4
RENAULT/LOGAN,649,4
CITROEN/C4 CACTUS,570,4
NISSAN/VERSA,560,4
CAOA CHERY/TIGGO 3X,544,4
VW/VIRTUS,433,4
BMW/X1,361,4
VW/POLO,329,4
RENAULT/CAPTUR,315,4
BMW/320I,313,4
GM/TRAILBLAZER,305,4
VW/VOYAGE,302,4
PEUGEOT/2008,289,4
CAOA CHERY/ARRIZO 6,243,4
VW/TAOS,225,4
MITSUBISHI/PAJERO,223,4
MITSUBISHI/ECLIPSE CROSS,217,4
FIAT/SIENA,205,4
HYUNDAI/HB20,9084,10
GM/TRACKER,8496,10
GM/ONIX,7768,10
GM/ONIX PLUS,7354,10
FIAT/MOBI,6741,10
FIAT/ARGO,6628,10
RENAULT/KWID,6041,10
VW/T CROSS,5590,10
JEEP/COMPASS,5307,10
HYUNDAI/CRETA,5048,10
FIAT/PULSE,4311,10
VW/VOYAGE,4229,10
JEEP/RENEGADE,3957,10
VW/NIVUS,3772,10
FIAT/CRONOS,3716,10
TOYOTA/COROLLA,3286,10
TOYOTA/COROLLA CROSS,3225,10
VW/GOL,3099,10
FIAT/FASTBACK,2843,10
CITROEN/C3,2620,10
NISSAN/KICKS,2604,10
HONDA/HR-V,2603,10
TOYOTA/YARIS HB,2254,10
HYUNDAI/HB20S,2155,10
JEEP/COMMANDER,2112,10
RENAULT/DUSTER,1913,10
GM/SPIN,1736,10
TOYOTA/YARIS SEDAN,1456,10
HONDA/CITY HATCH,1322,10
PEUGEOT/208,1232,10
CITROEN/C4 CACTUS,1171,10
HONDA/CITY,1137,10
VW/TAOS,989,10
CAOA CHERY/TIGGO 8,978,10
TOYOTA/HILUX SW4,869,10
VW/POLO,740,10
RENAULT/LOGAN,689,10
RENAULT/SANDERO,588,10
CAOA CHERY/TIGGO 7,482,10
CAOA CHERY/TIGGO 5X,456,10
BMW/320I,454,10
GM/CRUZE SEDAN,413,10
VW/VIRTUS,382,10
GM/TRAILBLAZER,349,10
GM/EQUINOX,289,10
MITSUBISHI/ECLIPSE CROSS,264,10
VOLVO/XC40,264,10
PEUGEOT/2008,225,10
AUDI/Q3,224,10
M.BENZ/CLASSE C,198,10