,Usuarios,Comentarios,Curtidas,Data
157,@Augusto0088,É mto drama não,0,2022-05-20T21:32:29Z
158,@emanuelgomes5198,"Bem feito, agora vai enterrar esse carro de vez",0,2022-05-20T21:10:06Z
159,@hermes6202,Kkkk bem feito,0,2022-05-20T20:37:29Z
160,@wagnersantos7035,"Fiquei sabendo que a Volkswagen vai lançar a caminhonete Amarika, é verdade?",1,2022-05-20T20:16:34Z
161,@adelio3778,Cara o brasileiro não é minorias 🥱 o povo não perdoa o Brasil é hétero 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,20,2022-05-20T16:46:23Z
162,@novaera6761,Por isso o bozó vai ganhar por causa dessas merdas,0,2022-05-20T16:20:40Z
163,@novaera6761,Ataques homofóbico? Essa Uol e muito lixo,0,2022-05-20T16:19:39Z
164,@guilhermenunes6522,"Piada não é ataque, nenhuma orientação sexual está isenta de piadas e nem tem o direito de censurar a livre manifestação do humor",3,2022-05-20T16:06:36Z
165,@GabrielSilva-gr2tw,"Ainda bem q n tenho polo, q nojo",1,2022-05-20T13:26:11Z
166,@zemanoshtronz,"Nos anos 70/80 as grandes apostas das agências de marketing eram as  vinculações das imagens de garotas de biquíni às cervejas, ou cenas de ação e esportes radicais com cigarro! Desde essa época, a sociedade criticava esse tipo de associação, porém, as vendas (e o vício) justificavam a persistência. Atualmente, não existe mais propaganda de cigarros (vetada por lei) e cervejas, só as vemos patrocinando eventos! Ficou claro que associar um nicho, um gosto, uma, tendência... É, atualmente, motivo de reações que tornam-se virais e geram os famosos memes! Portanto, não é homofobia que está acontecendo e sim &quot;memofobia&quot;: Coisa de brasileiros &quot;troladores&quot;!",1,2022-05-20T12:05:56Z
167,@Nechayev_mikh,🤮,0,2022-05-20T10:08:04Z
168,@sejaoseumelhorsempre2552,Ataques homofobicos?eita midiazinha nojenta que nunca muda né!!😂😂😂,0,2022-05-20T09:01:54Z
169,@JoseRodrigues-hl1pp,Kkkkkkkkkkkkkkkkk,0,2022-05-20T07:32:08Z
170,@michaelrogerio5517,"Ridículo como esse comercial essa reportagem também ridícula, esse e o maior problema vcs estão na educação e acham que todos tem que ser como vcs o Diego deveria ser crime também ver um gay enfiando uma cruz na bunda mas isso não e crime vcs querem lacrar mas não vão conseguir todos tem o mesmo direito vcs querem privilégios.<br>Veja as estatísticas quantas pessoas não gay morrem  por hora vc e ninguém fala nada mas morre um gay e o fim do mundo.",0,2022-05-20T04:43:22Z
171,@thiagosoares2940,"&quot;Ain eu nao concordo &quot; e quem se importa? Vá trabalhar e pagar suas contas, usar &#39;deus&#39; não justifica nada Chora preconceito",3,2022-05-20T02:34:19Z
172,@BigornaMadruga,"Quem &quot;Lacra, não Lucra!&quot;",0,2022-05-20T02:10:53Z
173,@alguma2657,🤮🤮🤮🤮,0,2022-05-20T01:39:27Z
174,@adilsonarantesaparecidoara7683,"o que tem na cabeça desses estagiarios  da vw ? , como dizia o olavo de carvalho :&quot;  éssa geração esta perdendo até a capacidade de pensar  &quot; .",0,2022-05-20T00:21:07Z
175,@taynabb2011,Quero ver  a representatividade da minoria comprar kkkkkkkkkkk,0,2022-05-19T23:56:32Z
176,@diego-azarel7875,Vocês são ridículos&quot; destruíram um carro  tudo pela lacração&quot; nunca vão ser aceitos desse jeito&quot; tudo o que vão conseguir é tornar o Brasil igual os emirados árabes,2,2022-05-19T23:38:10Z
177,@stonks22,"Vendo wv Polo urgente, preço abaixo da tabela.",0,2022-05-19T23:35:35Z
178,@nahtansilva8425,Vou vender o meu agora,0,2022-05-19T23:02:35Z
179,@TheMrCHELL,"Kkkkkkkkkkk<br>Desculpa, mas não dá pra não rir.🤣🤣🤣",2,2022-05-19T21:18:27Z
180,@fdteammma2704,Os caras distruiu meu sonho,0,2022-05-19T20:34:32Z
181,@garotoderecado8234,Absurdo fazerem um comercial escroto desse. Ofendeu a familia de todo mundo que tem um carro assim <br>&quot;&quot;&quot; VOLKS NUNCA MAIS &quot;&quot;&quot;,2,2022-05-19T19:51:03Z
182,@prontofalei910,Desvalorizaram meu carro. Puta que pariu...,0,2022-05-19T19:18:19Z
183,@henriquedefreitas7126,"É so a galera LBGTI+^&gt;O*Hcsfdtq YT#%$¨ comprar os Polos a venda, já era",0,2022-05-19T17:51:20Z
184,@wellingtonbraz160,O homem sente ofendido quando chamado de gay. Ninguém vai querer comprar esse carro agora.,4,2022-05-19T17:47:34Z
185,@maxwellnelson673,Kkkk,0,2022-05-19T13:43:47Z
186,@leonemascarenhas5229,Sempre que você isola uma classe da nisso <br>Empresas não podem isolar classes para vendas <br>O resultado é esse. Infelizmente!,0,2022-05-19T13:17:14Z
187,@gms021116,Não tenho nada contra os gays e companhia.....mas prefiro um carro que combine com meu estilo de vida .,0,2022-05-19T13:10:31Z
188,@WandersonDRami,"Gente, lança um novo modelo então e deixa os gays comprar, quem não é gay e quiser comprar, porra vende o bagulho a anos e dá uma presepada dessa, o valor do carro vai baixar muito , slk, se os Gays querem ser reconhecidos, os héteros tbm preferem serem reconhecidos como hétero, respeito resolve",0,2022-05-19T11:20:26Z
189,@RicaOficial_,"Quem lacra não lucra meu chapa, conseguiram acabar com o Polo.",0,2022-05-19T10:01:46Z
190,@rodcast4395,Bom dia a todes.... amei o poly... nao paro de dar ré...,7,2022-05-19T09:38:16Z
191,@rodcast4395,Aguardando os jornalistas do uol mostrarem apoio e comprar um poly,5,2022-05-19T09:37:33Z
192,@erikevictorio6877,"O novo Polo é complicado, sempre solta a RODA",62,2022-05-19T05:04:44Z
193,@romarioferreira2648,Zoeira nacional.kkk,0,2022-05-19T04:53:42Z
194,@weslemsouza201,"Uai, mas as pessoas morrem toda hora no brasil",0,2022-05-19T04:02:28Z
195,@paulohenriquefernandes6356,NÃO CONCORDO COM ESSE TIPO DE PROPAGANDA. <br>NÃO SOU GAY E NÃO FICO A VONTADE ANDANTO NESTE CARRO APÓS ESTA PROPAGANDA. <br>DESCORDAR DE UMA OPINIÃO AGORA VIROU ATAQUE.,0,2022-05-19T03:40:06Z
196,@alessandrobezerradefarias6631,"Os publicitários deram uma aula de como desvalorizar e acabar com um modelo. Quer ser gay que seja, mas pra que fazer uma merda dessas e achar que isso é normal e uma criança que ver isso na TV vai pensar o que?",0,2022-05-19T03:17:37Z
197,@hielsantos4267,Se não quiser levar ataque de &quot;homofobia&quot; não ataque a família.,7,2022-05-19T02:56:47Z
198,@samuellefol5906,Kkkkkkk aiiiiiiiiiiiiiiiiiiiiiii que tudoooooooooooooooooooooo cuecaooooooo de couuuuurooooooooooo,0,2022-05-19T02:21:03Z
199,@oscargunia7270,Querem dar o @ façam isso sem envolver o resto da população que não concorda com essa desgraça .,0,2022-05-19T00:46:28Z
200,@marcelokonrath4815,"Atacaram as mulheres de biquini em propaganda e agora colocaram essa porcaria no ar? Fala sério né? Vamos reclamar tanto quanto atacaram as mulheres em comerciais de cerveja, carros e etc. Lixo de tempos.",1,2022-05-19T00:28:45Z
201,@julianogroia2005,A Peugeot agradece 😊😊😊,1,2022-05-18T22:48:57Z
202,@andrerossato5846,"VW vai se orgulhar em ver as vendas do carro decair... vão ter que tirar de linha ou mudar o nome do carro por causa de uma bobagem dessas,",0,2022-05-18T22:38:02Z
203,@jhonatainacio,"Que a marca colha o que plantou...<br>Não normal a grande maioria são héteros, então que venda seu carro para a minoria da minoria que tem condições de dar mais de 100k num carro nichado como esse ficou... Sem falar no receio das pessoas que com todo direito não querem ser relacionados a um grupo do qual ela não faz parte!",6,2022-05-18T22:04:37Z
204,@adrianogarciaespanhol6721,Kkkk e vergonhoso eu nunca mais compro um carro deste Cruz credo,0,2022-05-18T21:19:20Z
205,@edamin2023,"cara, de verdade, a VW está classificando todo o alvoroço e repúdio à propaganda como homofobia... mas a questão nem é essa, ou pode até ser por um grupo de pessoas, a questão é identificação do produto com o cliente... eu não sou gay, eles fazem um produto e colam esta associação, então eu que tenho o direito de ser hetero (acho que tenho direito ainda), não quero o produto... isso é básico em Marketing...<br>No final da história eles querem lacrar ou querem vender carros? A escolha é deles, tem muita opção de compra por aí... Qtos % da população é gay? 5, 10, 15, 30%? Então este é o nicho de mercado que eles acessarão... simples assim...",8,2022-05-18T20:58:46Z
206,@jonathasgueiros2830,"Não vi nenhuma mulher nesta propaganda. Casal é HOMEM e MULHER. Dois &quot;homens&quot; é par, pareia, junta.",1,2022-05-18T20:15:04Z
207,@sandroaguiar802,Na moral eu não comprei mais . Meu colega comprou um polo GTS achei top !!!! Já não quero mais . Tô fora!!!!!!!!!!,1,2022-05-18T19:55:41Z
208,@sandroaguiar802,O cara falou errado?  Vc não e o gay da propaganda ou não é? Vc se classifica como hetero ou gay. <br>Normal a pessoa falar olha e a mulher da propaganda e o homem daquela propaganda. <br>Porra o cara falou certo não é todo dia q tem um casal de gay se beijando em uma propaganda na TV. <br>Não quero q meus filhos vejam isso e achem normal. <br>Quando ele crescerem eles decidem e fica com homem ou mulher ponto final,1,2022-05-18T19:46:37Z
209,@allexm.baptista5810,A ofensa ai é contra os gays... quem é que deseja um Polo? Carro feio!!!,1,2022-05-18T19:12:08Z
210,@Marcos.Silva7,Esquema é voltar a andar de monza🤣🤣🤣,2,2022-05-18T18:03:14Z
211,@fabianodias5718,esse comercial é um absurdo e uma falta de respeito,12,2022-05-18T16:07:22Z
212,@benjaminferreirajunior374,Eu comprei um Polo e me arrependi eu não consegui vender e .tive que comprar um cheverte  . Pra salvar meu casamento. porque o carro polo sai do armário,13,2022-05-18T14:17:08Z
213,@maurofernando8962,Vocês precisam entender: O BRASIL NÃO É GAY!!! Esse comercial sim é uma ofensa!,8,2022-05-18T14:09:48Z
214,@guerreiro-cx3ci,Lá ele!,0,2022-05-18T12:18:31Z
215,@veganosantossilva1340,"Quem vai querer o carro polo? Acho que nem os gay?<br>Deu ruim com essa propaganda, forçar a barra não. Nada contra os gays!",6,2022-05-18T12:01:11Z
216,@nderssem3623,&quot;alvo de ataques&quot; <br>nao senhor   <br>alvo de ZOEIRA esqueceram que aqui é BR <br>🤣🤣🤣🤣,69,2022-05-18T11:38:43Z
217,@osakajinomoshiroi,"Ate no nome, os jornalequinhos fizeram parzinho.",0,2022-05-18T10:44:15Z
218,@jefersonvigsp4810,"NÃO tem q ter carro hétero, Negro, branco oriental, feminino o problema desses esquerda e achar q tem q mostrar oq são",3,2022-05-18T10:06:07Z
219,@byashimanuki7110,VW SEMPRE FOI CARRO DE GAY VEJA O FUSCA AZUL CALCINHA REDONDINHO E COM OLHOS REDONDINHO TODO BUNITINHO EH CARRO GAY KKKKKK... QUE BABAQUICES DE HOJE TENHO SAUDADE DO COSTINHA O CARA ERA FENOMENAL INTERPRETANDO AS BIBAS COM OS ATRIBUTOS CARICATOS E COM A VOZ ROBUSTA E DESMUNHECANDO E FAZENDO CARAS E BOCAS O COSTINHA ERA FENOMENAL!!!,0,2022-05-18T05:36:07Z
220,@musicmi5941,Eu sou totalmente a favor da comunidade LGBTQIA+<br>Eu até fiz uma doação de 2 mil reais pra ajudarem eles<br>Espero q encontrem a cura logo,2,2022-05-18T04:43:18Z
221,@mailsoncerqueira1415,Concerteza duilio e gaviões vão adotar esse carro kkkkkllllllkkkkkkkkk as pavilhona 9,0,2022-05-18T03:35:44Z
222,@mailsoncerqueira1415,Se eu fosse a Fiat metia uma propaganda heterossexual sem do fudeu quero ver não vender,0,2022-05-18T03:34:57Z
223,@hluiz1767,"Uma parte do título diz: &quot;alvo de ataques&quot;.  Toda opinião, comentário e repercussão sobre este assunto no Brasil é intitulado como ataques. Fico imaginando uma propaganda desta no mundo árabe 🤔. Como seriam os ataques por lá?",96,2022-05-18T03:13:20Z
224,@300Thalys,"pq a propaganda na Alemanha não é igual? não é homofobia, até pq para promover um carro pessoa nenhuma precisa aparecer, só a voz de alguém narrando o que o carro tem e pode fazer, não tem nada a ver com a opção sexual de ninguém!!!",0,2022-05-18T02:32:44Z
225,@conteudobrasil1000,"Deus criou o homem e a mulher!!! Desaprovado esse comercial, nunca mais compro VW",1,2022-05-18T02:01:38Z
226,@BravoFacas,"Agora todos  jornalistas do UOL devem compar esse carro, para dar exemplo de inclusão!",163,2022-05-18T01:43:52Z
227,@electomoba,Comercial patético e desnecessário. Quem não gostou da minha opinião que vá morar numa ilha isolada com quem concorda com vc. A MAIORIA NAO CONCORDA COM VCS,1,2022-05-18T00:29:00Z
228,@moisesfilho3882,O lance é que o carro agora ficou conhecido como polo gay agora só vejo geral vendendo aqui no meu estado,5,2022-05-18T00:25:05Z
229,@electomoba,KKKKKKKKKK QUEM LACRA NÃO LUCRAAAA &quot;APRENDÃÃÃÃOOO!&quot;,1,2022-05-18T00:24:18Z
230,@rgomes3099,Kkkkk polo gay,0,2022-05-17T23:35:48Z
231,@renato7638,Volkswagen acertou em cheio.<br><br>Todo Mundo falando do Carro deles. Publicidade de graça no boca aboca e mas redes sociais. <br><br>Eu soube através de vocês. 😳<br><br>Eu nem estava sabendo da polêmica 🤣🤣<br><br>Os “Macho Alfa” de Heterossexualidade FRÁGIL piram.<br><br>Kkkkkkkk<br><br>Vê se tem cabimento um MACHO ALFA de verdade igual a mim esta preocupado que outro cara esta DANDO a bunda? Eu estou é comemorando.<br><br>Muita mulher sobrando. 🙃😎,0,2022-05-17T23:24:21Z
232,@lucianoleao9333,Homofobia meu ovo,0,2022-05-17T23:19:47Z
233,@lrs9795,Que vitimismo vão se fuder,1,2022-05-17T22:46:10Z
234,@juremasales3483,O namorado teclarem Curitiba te metendo galha,0,2022-05-17T22:24:19Z
235,@juremasales3483,Veada,0,2022-05-17T22:23:09Z
236,@julioseabra7684,"troco meu polo por um marea, pago a diferença kkkkkkkkkkkkkkkkkk",1,2022-05-17T20:46:31Z
237,@adaonei9184,Que mundo é esse mizericordia ...,0,2022-05-17T20:46:10Z
238,@sheddy2246,"Não se deite com um homem como quem se deita com uma mulher; é repugnante.<br>Levítico <a href=""https://www.youtube.com/watch?v=VWxRO6YIeBU&amp;t=1102"">18:22</a><br>Por essa razão, o homem deixará pai e mãe e se unirá à sua mulher, e eles se tornarão uma só carne.<br>Gênesis <a href=""https://www.youtube.com/watch?v=VWxRO6YIeBU&amp;t=144"">2:24</a><br><br>Não se deixem enganar: nem imorais, nem idólatras, nem adúlteros, nem homossexuais passivos ou ativos, nem ladrões, nem avarentos, nem alcoólatras, nem caluniadores, nem trapaceiros herdarão o Reino de Deus. Assim foram alguns de vocês. Mas vocês foram lavados, foram santificados, foram justificados no nome do Senhor Jesus Cristo e no Espírito de nosso Deus.<br>1 Coríntios 6:9-11",0,2022-05-17T20:41:47Z
239,@cristianofrancisco4041,"Para que querer direcionar um produto a um certo publico , ficam querendo  separar as pessoas e pronto sem direcionar  p nada , apenas para todos os serem humanos ...<a href=""http://www.youtube.com/results?search_query=%23uollixo"">#uollixo</a>",0,2022-05-17T20:37:47Z
240,@estoudeolho124,Quem lacra não lucra!,2,2022-05-17T20:26:56Z
241,@velhodeitado221,Para<br>hOmem que<br>  Lambe<br>hOmem,1,2022-05-17T19:04:01Z
242,@velhodeitado221,"A quantidade de pessoas anunciando o carro pra venda na OLX aumentou muito. Pessoal tá querendo se livrar do carro, tiro no pé",2,2022-05-17T18:55:30Z
243,@velhodeitado221,"Mas pqp, porcaria de propaganda. Não pelos rapazes, mas sim como foi feita. Agora o pessoal tá até com vergonha de andar no carro.",0,2022-05-17T18:53:17Z
244,@vicentealves85,"Eu não concordo com a propaganda ,mais sou contra essas agressões.",0,2022-05-17T18:20:47Z
245,@jacksilviano3710,A gente deveria ver como ser humano primeiro antes de Criticar.,0,2022-05-17T16:27:55Z
246,@andrealeo-pedagogiacomamor5739,"Diego, me solidarizo com você e seu esposo.",6,2022-05-17T16:26:25Z
247,@romuloneris1942,Os memes são pra acabar 😂😂😂,0,2022-05-17T16:12:14Z
248,@joes46985,"Kkkkk fazer piada com essa gente é homofobia, pqp hein. Quem lacra não lucra kkkkkkkk",0,2022-05-17T16:03:33Z
249,@matheustrindade9270,"até pra vender um carro os caras tem que carteirar gênero, vá se lascar!!",1,2022-05-17T15:48:48Z
250,@matheustrindade9270,A  Volkswagen tá de sacanagem meu kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0,2022-05-17T15:47:45Z
251,@asdfffffffff2,KKKKKKKKKKKKKKKKKKKK QUANTO POLO VENDENDO NA INTERNET,0,2022-05-17T15:34:13Z
252,@leco8157,"que cara raiz vai querer um carro desses agora, creem Deus pai",0,2022-05-17T15:06:45Z
253,@renanfis,"E eu preocupado pela empresa ter nascido do nazismo, ter apoiado a ditadura, liberado a tortura dos próprios funcionários dentro das suas instalações a partir de suas próprias denuncia. Além, é claro, de enganar clientes e governos em processos bilionários nos últimos anos. Mesmo que não seja pelo mais nobres dos motivos, fico muito feliz com o boicote! Que venha mais!",1,2022-05-17T14:20:13Z
254,@manoelneneu,Não sou homofóbico mas depois dessa propaganda reparei que toda vez que o Volkswagen polo dá uma arrancada as roda queima,0,2022-05-17T11:23:15Z
255,@francastreaming7563,Ficou uma bosta,0,2022-05-17T09:54:23Z
256,@andersonsantos2540,Kkkkkkk foi lacrar e sentou kkkkk,0,2022-05-17T09:18:25Z
257,@rodrigogoncalves2399,2022 e ainda é tabu um casal homossexual aparecer em qualquer contexto. <br>Tem gente que tem tanto medo do diferente que até se sente ofendido com algo tão normal.<br>Ainda precisamos evoluir muito.,13,2022-05-17T05:59:53Z
258,@Paulojedi,"Cada um faz o que gosta,más tb hj  dia o pessoal força muito,querer fazer as pessoas entender que isso é normal e tals,e pedir mesmo!!!<br>Não tenho nada contra,quiser chamar de homofóbico,foda Se!!!",4,2022-05-17T04:24:57Z
259,@adrianorocha5708,A câmera traseira deve estar melhor 🤣🤣🤣,1,2022-05-17T04:06:18Z
260,@nathan9854,<b>Que lacra não lucra querem obrigar os outros a serem homossexual</b>,1,2022-05-17T02:41:35Z
261,@junioramorim2273,A LACRACÃO NAO PODE PARAR . QUE DESGRAÇA,0,2022-05-17T01:23:56Z
262,@tempestadenoturna7663,Vw lixooo e UOL LIXOOOO,0,2022-05-17T01:19:26Z
263,@Emanuelsex1,"Mil comercias com família héteras, casais etc e não vi um gay reclamando até hoje e nem desfilando ódio kkkkk vão se tratar",0,2022-05-17T01:04:28Z
264,@danielfreitas3894,"Erraram feio , em fazer essa propaganda  de Merda",0,2022-05-17T00:53:16Z
265,@lucasdasilvadeoliveira361,Novo Patrocinador do SPFC,1,2022-05-17T00:46:42Z
266,@veganosantossilva1340,Pergunta:<br>- Se um jovem LGBT for comprar um veículo e o vendedor oferecer o polo.... é preconceito?,61,2022-05-17T00:32:00Z
267,@veganosantossilva1340,"Sem preconceito...<br>- Nunca compraria, simplesmente para fugir da zoação dos amigos...",75,2022-05-17T00:29:15Z
268,@franciscoantonio9027,Carequia,0,2022-05-16T23:07:36Z
269,@franciscoantonio9027,Carequia,0,2022-05-16T23:07:25Z
270,@franciscoantonio9027,Carequia,0,2022-05-16T23:07:19Z
271,@franciscoantonio9027,Carequia,0,2022-05-16T23:07:13Z
272,@franciscoantonio9027,Carequia,0,2022-05-16T23:07:08Z
273,@franciscoantonio9027,Kkklklkkk,1,2022-05-16T23:05:48Z
274,@ajajajajaj236,"Fazer o meme com a empresa tá beleza, com o carro tbm! Agora, atacar o ator é sacanagem!",1,2022-05-16T22:41:06Z
275,@tiagotaddei,"&quot;ainnnn é homofobico&quot; kkkkkkkkkkkkkkkk fizeram de proposito ja esperando isso, engana que eu gosto",0,2022-05-16T22:40:13Z
276,@wildboscoeua,Muito mimimi,0,2022-05-16T22:30:15Z
277,@wildboscoeua,Eh sou gay e acho tão desnecessário esse tipo de colar sexualidade com qualquer produto a Volkswagen só ajudou ainda mais aumentar o distanciamento de pessoas,43,2022-05-16T22:28:24Z
278,@brazilcomz506,"Ia comprar um polo mas desisti, que vergonha esse comercial",0,2022-05-16T20:30:16Z
279,@mabilisouza1252,"O mais incrível é que a maioria que veio aqui comentar nem se deu ao trabalho de prestar atenção no conteúdo do vídeo, apenas veio destilar ódio e defender o que já tá garantido faz tempo: ser hétero. Um medo de quem é diferente e que não tá fazendo nada de mau pra ninguém, tá apenas existindo, mas parece que nem isso pode... Caramba, que país é esse?",6,2022-05-16T20:17:20Z
280,@fabiananobrega8217,E ainda pronunciam CASAL??<br>Casal é homem e mulher. Isso é uma dupla de macho abominável ao Senhor.  Ninguém muda a palavra de Deus. Fato,0,2022-05-16T19:21:03Z
281,@showtime3196,Sodomia é pecado.,0,2022-05-16T18:43:32Z
282,@landeganx,🤮 Volkswagen NUNCA MAIS! 🤮,0,2022-05-16T17:59:25Z
283,@silvestre396,Rindo igual a Carlos Alberto da praça é nossa,17,2022-05-16T17:58:39Z
284,@bililiaful,Esses dados que ele falou aí tirou do rabo também,0,2022-05-16T15:58:29Z
285,@bililiaful,Aiiiiinn omofobia a vá pra Porra e esse  jornalista tem feito de quem queima kkkkk,0,2022-05-16T15:56:12Z
286,@raphaels33,"Se fuderam , kkkk Isso que é marketing negativo. Eu lá quero saber se é carro de gay se é carro de homem se é carro de mulher. opoha pra que fazer aquela propaganda, em vez de quebrar o estigma , eles só substituiram um estigma por outro.",0,2022-05-16T15:06:46Z
287,@pedrovieira2228,"Essa sociedade é muito hipócrita mesmo. Qual a dificuldade em aprender a respeitar as diferenças. Ter um casal gay na campanha não pode, agora se tivesse uma mulher seminua a sociedade machista estaria aplaudindo a campanha em pé. Agora o que esperar de uma sociedade machista, hipócrita.  Condenam tanto os gays,  mais são esse machista e procuram os gays e trans no anonimato.",0,2022-05-16T12:28:36Z
288,@DimasShkrebets,"Ai amigues, que violence contra o pole.",0,2022-05-16T11:29:08Z
289,@JFSL2008,"não existe casal gay, e não aceitaria uma marca que é a favor de extremista lgbt",0,2022-05-16T10:58:05Z
290,@Juliao89,"Certeza que quem esta com esses ataques e piadas é porque não tem condição de comprar esse carro. <br><br>Quem tem a grana não vai deixar de comprar por causa de uma propaganda. <br><br>Obs: Sou hetero e atacar homossexuais não faz ninguém mais ou menos hetero...<br><br>Respeitem a vida, respeitem as pessoas",1,2022-05-16T06:24:05Z
291,@rudsmash7694,"Percebe-se que, a equipe responsável pelo comercial, não entende NADA sobre a importância dar apresentar a imagem e algumas partes técnicas do veículo.<br>Apresentaram o veículo, puramente com a ideia de lacrar.",0,2022-05-16T05:16:42Z
292,@miguelselaville5030,Kkkkkkkk nunca vi tantas opções de compra na Olx de polo 😂😂,88,2022-05-16T03:56:55Z
293,@dinhodin8662,Não compro empresa lacradora,1,2022-05-16T03:07:21Z
294,@joserobertorosamilares5638,GAY GAY GAY GAY GAY GAY GAY GAY GAY GAY GAY GAY GAY GAY GAY GAY GAY,0,2022-05-16T03:00:32Z
295,@juniorbarboza4375,Vcs são uma piada!! Kkkkkkkkkkkkkkkkkkkkkkkkk,0,2022-05-16T02:56:26Z
296,@rickardoads,Eles não vão vencer e nem nos calar ❤️,3,2022-05-16T02:02:57Z
297,@cristianodavis9987,Parabéns VW por esta merda de propaganda rotularam o produto,0,2022-05-16T00:50:44Z
298,@leonardoaraujo1460,Pelo menos eu não compro e se tivesse venderia na hora,0,2022-05-15T23:30:46Z
299,@vidastuta,Kkkkkkkkkkkkkkkklk,0,2022-05-15T23:16:13Z
